Strain_ID,Titer_gL,GrowthRate_per_hr,StressTolerance,Edit_Count,Pathway_Target,Cluster,GeneExp_MevA,Flux_MVA,Protein_MevA,Metabolite_MVA,EnzymeActivity_MevA
YS_1,4.0,0.459,0.48,3,Shikimate,1,45.5,2.52,86.1,3.41,101.7
YS_2,3.36,0.358,0.84,1,Mevalonate,2,62.0,2.97,145.8,2.69,93.3
YS_3,4.15,0.48,0.44,5,Shikimate,1,38.0,3.89,74.7,2.31,77.9
YS_4,5.02,0.402,0.94,2,Mevalonate,1,57.7,3.54,72.2,1.54,83.0
YS_5,3.27,0.427,0.82,3,Mevalonate,2,56.7,3.34,129.1,1.68,47.4
YS_6,3.27,0.402,0.51,1,Shikimate,2,43.0,3.06,134.3,2.82,72.7
YS_7,5.08,0.598,0.4,2,Shikimate,0,49.9,1.99,144.3,3.14,100.0
YS_8,4.27,0.449,0.85,2,Shikimate,0,29.1,2.41,138.5,3.42,94.7
YS_9,3.03,0.365,0.79,4,Glycolysis,2,67.7,2.76,156.9,2.0,85.0
YS_10,4.04,0.516,0.8,5,Shikimate,2,46.9,3.32,137.5,2.32,79.8
YS_11,3.04,0.352,0.82,3,Glycolysis,2,58.0,3.05,116.7,2.65,91.9
YS_12,3.03,0.467,0.44,1,Mevalonate,2,56.1,3.69,118.2,3.73,75.8
YS_13,3.74,0.293,0.6,4,Glycolysis,2,63.6,3.33,112.9,2.57,55.0
YS_14,1.59,0.344,0.46,5,Shikimate,2,45.7,3.04,127.4,3.43,79.9
YS_15,1.78,0.466,0.87,4,Mevalonate,1,52.0,4.59,92.6,2.6,86.0
YS_16,2.94,0.509,0.74,5,Mevalonate,2,55.6,3.28,128.5,3.19,96.8
YS_17,2.49,0.464,0.58,5,Mevalonate,2,58.7,2.7,117.8,3.12,58.4
YS_18,3.81,0.441,0.43,3,Glycolysis,2,61.5,4.3,126.9,2.6,78.2
YS_19,2.59,0.426,0.57,5,Shikimate,2,45.2,3.84,127.0,1.89,78.9
YS_20,2.09,0.332,0.58,4,Mevalonate,1,43.4,4.27,58.7,2.34,63.5
YS_21,4.97,0.392,0.8,5,Mevalonate,1,63.6,2.92,97.5,3.39,87.3
YS_22,3.27,0.413,0.75,3,Mevalonate,2,29.6,3.68,117.3,3.03,91.2
YS_23,3.57,0.535,0.89,3,Glycolysis,2,65.7,1.98,118.6,2.24,75.6
YS_24,2.08,0.477,0.66,4,Glycolysis,2,47.0,3.55,126.5,2.29,110.8
YS_25,2.96,0.309,0.47,2,Shikimate,2,50.0,2.89,127.6,1.46,75.2
